timestamp,energy_kwh,production_units,temperature_celsius,humidity_percent,unit_consumption
2024-01-01 00:00:00,126.07242257753512,20,5.663412586613266,84.5822309258582,6.303621128876756
2024-01-01 01:00:00,97.69796041098168,13,6.793982148376848,89.93487587921727,7.515227723921668
2024-01-01 02:00:00,125.3233161166778,20,9.430061266672672,73.09553979638488,6.26616580583389
2024-01-01 03:00:00,103.84268318571432,8,8.266498706839915,78.14750428389497,12.98033539821429
2024-01-01 04:00:00,102.16197883580574,6,7.126493131147553,74.20299224333314,17.02699647263429
2024-01-01 05:00:00,129.37797309445054,18,9.129214146475055,67.47164307182051,7.187665171913919
2024-01-01 06:00:00,110.12061244466229,24,10.369968541708197,72.30547104582358,4.588358851860929
2024-01-01 07:00:00,294.42722191922337,173,10.384038184358394,72.53103704237067,1.7018914561804819
2024-01-01 08:00:00,298.71189615028726,169,8.234750613077573,81.67720345288885,1.7675260127235932
2024-01-01 09:00:00,287.28154734438544,152,8.746522666072359,84.7495258604608,1.8900101798972726
2024-01-01 10:00:00,250.9816657812225,145,6.833834779395665,93.65782968079516,1.7309080398705
2024-01-01 11:00:00,250.1886752307802,116,6.085801134923791,89.74687928593312,2.1567989244032777
2024-01-01 12:00:00,239.6534136113196,112,5.323172222503136,87.15800886896949,2.139762621529639
2024-01-01 13:00:00,231.92789782579644,102,4.5565619679272364,85.91199536521178,2.2738029198607492
2024-01-01 14:00:00,211.87141391299056,77,3.621044696124891,94.01644062118444,2.7515768040648125
2024-01-01 15:00:00,235.3085847325358,79,2.1511348347894397,92.12631714079023,2.978589680158681
2024-01-01 16:00:00,225.2963128597507,66,0.5115849970031072,78.87874784012018,3.4135804978750106
2024-01-01 17:00:00,253.20832053653749,61,-1.9402877716528275,95.0,4.150956074369467
2024-01-01 18:00:00,215.93091708070097,63,1.5109679676512675,84.82310416747315,3.427474874296841
2024-01-01 19:00:00,224.32277333231403,63,0.2666151196670267,86.22222812056614,3.5606789417827622
2024-01-01 20:00:00,192.2529765283001,61,-0.1965611287390462,95.0,3.1516881398081984
2024-01-01 21:00:00,213.65873706350564,70,0.6740971270909459,85.78427188018978,3.0522676723357947
2024-01-01 22:00:00,137.52087588256558,3,1.7101642454932415,89.35548311605532,45.84029196085519
2024-01-01 23:00:00,135.0066909772033,14,1.9641377320979123,91.56411493601502,9.643335069800235
2024-01-02 00:00:00,120.16530816930388,5,4.686210259659231,83.7484827442926,24.033061633860775
2024-01-02 01:00:00,116.64895564441144,12,7.996971840482031,73.75675316150212,9.720746303700954
2024-01-02 02:00:00,129.94592086137436,22,9.153825600358823,85.46195616524078,5.906632766426108
2024-01-02 03:00:00,126.57014536470491,15,8.548370197512966,71.66473185148708,8.438009690980328
2024-01-02 04:00:00,98.26257220631472,2,7.203312050699172,81.39027721445356,49.13128610315736
2024-01-02 05:00:00,100.25983949014346,0,8.902353816670232,76.89275242934654,49.13128610315736
2024-01-02 06:00:00,109.6377722580283,11,10.3707582459786,83.32908663179155,9.9670702052753
2024-01-02 07:00:00,271.34138834446816,154,10.704317361457578,82.44277806059655,1.7619570671718712
2024-01-02 08:00:00,262.6637628883414,137,8.324995106149641,81.73708009271475,1.9172537437105213
2024-01-02 09:00:00,272.26095825479433,131,8.00587916967807,76.38077572953148,2.078327925609117
2024-01-02 10:00:00,268.89047822540863,134,7.368595419758697,79.78663902145078,2.006645359891109
2024-01-02 11:00:00,249.44615953247452,113,7.061285460599469,89.36472757452947,2.2074881374555266
2024-01-02 12:00:00,226.1526635723257,97,5.16164897343322,80.67327707093355,2.3314707584775847
